date,window_start,window_end,n_days,mu,sigma,lam,mu_j,sigma_j,kappa
2014-01-02,2012-07-03,2014-01-02,379,0.1389261614330428,0.2411477418709781,3.324538258575198,-0.048264713429480556,0.0730623324495465,-0.04457179922517385
2014-01-31,2012-08-01,2014-01-31,379,0.10767907921827287,0.24016371132360118,3.9894459102902373,-0.05410443206328922,0.06689616895388523,-0.05054475326994823
2014-02-28,2012-08-29,2014-02-28,378,0.07539926291918858,0.24001711141251203,4.0,-0.05410443206328922,0.06689616895388523,-0.05054475326994823
2014-03-31,2012-10-01,2014-03-31,377,0.09681714875569859,0.2358231789273072,4.010610079575597,-0.05410443206328922,0.06689616895388523,-0.05054475326994823
2014-04-30,2012-10-31,2014-04-30,377,0.17562959915816384,0.22742345182176074,4.679045092838196,-0.03511884310491104,0.07907221994647934,-0.03148628496101813
2014-05-31,2012-12-03,2014-05-30,376,0.2929924984607887,0.2218599639423386,4.0212765957446805,-0.05257646166219517,0.07030536406923434,-0.048870486966121396
2014-06-30,2012-12-31,2014-06-30,378,0.3576890371004578,0.21358805551446394,3.3333333333333335,-0.04978749794598114,0.07823182141275246,-0.045652472239486985
2014-07-31,2013-02-01,2014-07-31,378,0.26700660414816685,0.19276642226028165,4.666666666666667,0.003994996624957154,0.06631539082888772,0.006213083784432305
2014-08-31,2013-03-01,2014-08-29,380,0.33331307224373097,0.1843914151366655,4.6421052631578945,0.003994996624957154,0.06631539082888772,0.006213083784432305
2014-09-30,2013-04-01,2014-09-30,381,0.31889784113026814,0.18482361513946857,4.6299212598425195,0.003994996624957154,0.06631539082888772,0.006213083784432305
2014-10-31,2013-05-01,2014-10-31,382,0.35553097101751574,0.17584711441528694,4.617801047120419,0.00591485290569725,0.06443798276377137,0.008022992810628127
2014-11-30,2013-05-31,2014-11-28,380,0.4077384659303525,0.17141801044521618,4.6421052631578945,0.00591485290569725,0.06443798276377137,0.008022992810628127
2014-12-31,2013-07-01,2014-12-31,381,0.44397295084464244,0.17642954200234315,4.6299212598425195,0.00591485290569725,0.06443798276377137,0.008022992810628127
