date,window_start,window_end,n_days,mu,sigma
2014-01-02,2012-07-03,2014-01-02,379,0.3665358068990793,0.2667668558835512
2014-01-31,2012-08-01,2014-01-31,379,0.28599894016204574,0.2786439578271167
2014-02-28,2012-08-29,2014-02-28,378,0.25742788420763735,0.28271565240866736
2014-03-31,2012-10-01,2014-03-31,377,0.18690678735353258,0.28355565318596293
2014-04-30,2012-10-31,2014-04-30,377,0.16321623741530114,0.2957262305172997
2014-05-31,2012-12-03,2014-05-30,376,0.14418754764360048,0.29762802627691437
2014-06-30,2012-12-31,2014-06-30,378,0.18743693024672906,0.2989145176921677
2014-07-31,2013-02-01,2014-07-31,378,0.10970426697732952,0.3051063858388561
2014-08-31,2013-03-01,2014-08-29,380,0.16522365856843177,0.30206898242498514
2014-09-30,2013-04-01,2014-09-30,381,0.1260531468434425,0.3020949628645148
2014-10-31,2013-05-01,2014-10-31,382,0.12219551347334036,0.3027147280174707
2014-11-30,2013-05-31,2014-11-28,380,0.15804762627623917,0.30365354000786726
2014-12-31,2013-07-01,2014-12-31,381,0.07354650377449776,0.3062751843704005
