ticker,regime,model,n_updates,asof,P_lambda,P_omega,P_alpha,P_beta,P_sigma0,P_lam,P_mu_j,P_sigma_j,P_kappa,P_sigma,P_mean_equation,P_variance_shock,prem_mu_j_q,prem_n_quotes,prem_jump_premium_identified,Q_lambda,Q_omega,Q_alpha,Q_beta,Q_sigma0,Q_lam,Q_mu_j_q,Q_sigma_j,Q_kappa_q,Q_mean_equation,Q_variance_shock,Q_q_stationary
AAPL,2008-2009,GARCH–Merton,13,2009-07-31 00:00:00,0.10664208117698404,1.535115587215452e-05,0.11298518518560317,0.8747761909289425,0.017672361843268623,1.3333333333333333,-0.14377688855060156,0.0759334084026328,-0.13141857777717403,0.5622177036080944,r_f + λ σ − ½ σ² + J,ε_t,-0.012342476859442682,12,True,0.10664208117698404,1.535115587215452e-05,0.11298518518560317,0.8747761909289425,0.017672361843268623,1.3333333333333333,-0.012342476859442682,0.0759334084026328,-0.009414934941345932,r_f − λ κ* − ½ σ² + J*,ξ_t − λ,True
AMZN,2008-2009,GARCH–Merton,13,2009-07-31 00:00:00,0.05875466747926795,2.3282557184488315e-05,0.05642175622121311,0.9273191492830393,0.03185279379163096,2.0,0.05880290408943023,0.1364347335034869,0.07048318610425075,0.600713555190532,r_f + λ σ − ½ σ² + J,ε_t,-0.02768329128130036,6,True,0.05875466747926795,2.3282557184488315e-05,0.05642175622121311,0.9273191492830393,0.03185279379163096,2.0,-0.02768329128130036,0.1364347335034869,-0.018208262470069903,r_f − λ κ* − ½ σ² + J*,ξ_t − λ,True
MSFT,2008-2009,GARCH–Merton,13,2009-07-31 00:00:00,0.005845560950275995,3.286691650056395e-05,0.1396041534891513,0.8331188858490184,0.029861676428931738,4.0,0.008796148528397829,0.12409973055920653,0.016633338988222723,0.5510382706090419,r_f + λ σ − ½ σ² + J,ε_t,-0.022082676244822855,8,True,0.005845560950275995,3.286691650056395e-05,0.1396041534891513,0.8331188858490184,0.029861676428931738,4.0,-0.022082676244822855,0.12409973055920653,-0.014279373392319106,r_f − λ κ* − ½ σ² + J*,ξ_t − λ,True
SPY,2008-2009,GARCH–Merton,13,2009-07-31 00:00:00,0.01038915656344324,5.872551385641099e-06,0.10801345019380079,0.8827629310752716,0.013047422366381576,0.6666666666666666,-0.0919288693156215,0.0,-0.08782996948391075,0.40055578823937293,r_f + λ σ − ½ σ² + J,ε_t,5.243663914485024e-09,24,True,0.01038915656344324,5.872551385641099e-06,0.10801345019380079,0.8827629310752716,0.013047422366381576,0.6666666666666666,5.243663914485024e-09,0.0,5.243663947496202e-09,r_f − λ κ* − ½ σ² + J*,ξ_t − λ,True
AAPL,2013-2014,GARCH–Merton,13,2014-12-31 00:00:00,0.14150243370917454,6.378391466182433e-19,1.1411157726014771e-43,0.9995430300969543,0.01296339815963892,5.291338582677166,0.0003156539809825998,0.06172424776779615,0.0022230627101031963,5.930783308989044e-07,r_f + λ σ − ½ σ² + J,ε_t,0.03649570263984215,22,True,0.14150243370917454,6.378391466182433e-19,1.1411157726014771e-43,0.9995430300969543,0.01296339815963892,5.291338582677166,0.03649570263984215,0.06172424776779615,0.03914747771390692,r_f − λ κ* − ½ σ² + J*,ξ_t − λ,True
AMZN,2013-2014,GARCH–Merton,13,2014-12-31 00:00:00,0.010815034323836719,0.0002967271243676016,0.22812516432775912,8.49150468594423e-15,0.01743417114197761,5.291338582677166,-0.01938470313100865,0.08970483326081213,-0.015243842776930805,0.3112471999006102,r_f + λ σ − ½ σ² + J,ε_t,-0.05202323801979567,24,True,0.010815034323836719,0.0002967271243676016,0.22812516432775912,8.49150468594423e-15,0.01743417114197761,5.291338582677166,-0.05202323801979567,0.08970483326081213,-0.046865983660070554,r_f − λ κ* − ½ σ² + J*,ξ_t − λ,True
MSFT,2013-2014,GARCH–Merton,13,2014-12-31 00:00:00,0.16426264652377826,7.696409234182134e-05,0.6083009563294867,0.2562771660531664,0.014234220836800123,3.968503937007874,0.006160568536065503,0.07457074876369083,0.008981056657060948,0.37844252450265603,r_f + λ σ − ½ σ² + J,ε_t,-0.014811876613655432,20,True,0.16426264652377826,7.696409234182134e-05,0.6083009563294867,0.2562771660531664,0.014234220836800123,3.968503937007874,-0.014811876613655432,0.07457074876369083,-0.011959389494072714,r_f − λ κ* − ½ σ² + J*,ξ_t − λ,True
SPY,2013-2014,GARCH–Merton,13,2014-12-31 00:00:00,0.14909906288350808,7.068740056661937e-06,0.16861334503474823,0.684427153564704,0.00627037445443255,1.984251968503937,-0.01916514159249812,0.0024923350200422695,-0.018979610987052142,0.11009622831997858,r_f + λ σ − ½ σ² + J,ε_t,-0.00013272948341093218,21,True,0.14909906288350808,7.068740056661937e-06,0.16861334503474823,0.684427153564704,0.00627037445443255,1.984251968503937,-0.00013272948341093218,0.0024923350200422695,-0.00012961521570686863,r_f − λ κ* − ½ σ² + J*,ξ_t − λ,True
AAPL,2018-2019,GARCH–Merton,13,2019-09-30 00:00:00,0.12929172356895488,1.7321536779588584e-05,0.14137221760344876,0.8179781667054712,0.013390831013335033,5.333333333333333,-0.02042186666306539,0.06660258779573248,-0.018039223915143676,0.32769156200415006,r_f + λ σ − ½ σ² + J,ε_t,-0.02625322298090057,24,True,0.12929172356895488,1.7321536779588584e-05,0.14137221760344876,0.8179781667054712,0.013390831013335033,5.333333333333333,-0.02625322298090057,0.06660258779573248,-0.023748723847230813,r_f − λ κ* − ½ σ² + J*,ξ_t − λ,True
AMZN,2018-2019,GARCH–Merton,13,2019-09-30 00:00:00,0.10166694201877935,1.3603679831240002e-05,0.1565502334679032,0.8078984641899447,0.015329415878292634,2.0,-0.025934175488682303,0.05184529222984275,-0.024290332186942654,0.3105279627218465,r_f + λ σ − ½ σ² + J,ε_t,-0.018939417848654883,24,True,0.10166694201877935,1.3603679831240002e-05,0.1565502334679032,0.8078984641899447,0.015329415878292634,2.0,-0.018939417848654883,0.05184529222984275,-0.017441554688138017,r_f − λ κ* − ½ σ² + J*,ξ_t − λ,True
MSFT,2018-2019,GARCH–Merton,13,2019-09-30 00:00:00,0.11414707064960089,1.5111228227316758e-05,0.1355192156654695,0.7981235012931783,0.012641220960565153,2.6666666666666665,-0.04310078738254619,0.014258144351800818,-0.04208778616940423,0.2395553392426527,r_f + λ σ − ½ σ² + J,ε_t,-0.002209548807599226,23,True,0.11414707064960089,1.5111228227316758e-05,0.1355192156654695,0.7981235012931783,0.012641220960565153,2.6666666666666665,-0.002209548807599226,0.014258144351800818,-0.002105681403288817,r_f − λ κ* − ½ σ² + J*,ξ_t − λ,True
