Date,SPY,AAPL
2007-10-02,154.461091,5.65893
2007-10-03,153.791541,5.64
2007-10-04,154.116137,5.58
2007-10-05,155.63264,5.76607
2007-10-08,155.133131,5.99679
2007-10-09,156.387602,5.995
2007-10-10,156.132921,5.95679
2007-10-11,155.334998,5.79393
2007-10-12,156.069501,5.97321
2007-10-15,154.762765,5.96357
2007-10-16,153.745483,6.056429
2007-10-17,154.029692,6.16964
2007-10-18,153.915013,6.19643
2007-10-19,149.97741,6.086429
2007-10-22,150.549588,6.22714
2007-10-23,151.872251,6.64857
2007-10-24,151.503379,6.64036
2007-10-25,151.355109,6.52786
2007-10-26,153.443431,6.59643
2007-10-29,154.03285,6.61036
2007-10-30,153.041808,6.67857
2007-10-31,154.882737,6.78393
2007-11-01,150.833483,6.69429
2007-11-02,150.957185,6.70964
2007-11-05,150.221924,6.64929
2007-11-06,152.029138,6.84964
2007-11-07,147.651675,6.65357
2007-11-08,147.573661,6.26679
2007-11-09,145.475398,5.90607
2007-11-12,144.032294,5.49143
2007-11-13,148.259864,6.07
2007-11-14,147.252393,5.9325
2007-11-15,145.319466,5.86786
2007-11-16,146.079008,5.9425
2007-11-19,143.540331,5.85536
2007-11-20,144.188741,6.030357
2007-11-21,141.907838,6.016429
2007-11-23,144.310516,6.12643
2007-11-26,140.969338,6.16214
2007-11-27,143.072148,6.24321
2007-11-28,147.187942,6.43643
2007-11-29,147.267458,6.58179
2007-11-30,148.408225,6.50786
2007-12-03,147.540763,6.38786
2007-12-04,146.580253,6.42179
2007-12-05,148.874618,6.625
2007-12-06,151.117096,6.78393
2007-12-07,150.849727,6.93929
2007-12-10,151.982452,6.93607
2007-12-11,148.160425,6.73357
2007-12-12,149.071253,6.81643
2007-12-13,149.257644,6.85107
2007-12-14,147.220575,6.79964
2007-12-17,145.022811,6.58571
2007-12-18,145.929391,6.535
2007-12-19,145.736175,6.54
2007-12-20,146.483529,6.68607
2007-12-21,148.160353,6.92536
2007-12-24,149.358406,7.1
2007-12-26,149.48051,7.10536
2007-12-27,147.390345,7.091786
2007-12-28,147.604212,7.13679
2007-12-31,146.595394,7.074286
2008-01-02,144.508517,6.95857
2008-01-03,144.50795,6.96179
2008-01-04,140.960431,6.43036
2008-01-07,141.416348,6.34429
2008-01-08,138.868473,6.11607
2008-01-09,140.769213,6.40714
2008-01-10,141.890147,6.35786
2008-01-11,139.969153,6.1675
2008-01-14,141.489049,6.385
2008-01-15,137.967457,6.037143
2008-01-16,137.211117,5.70143
2008-01-17,133.229283,5.74607
2008-01-18,132.426977,5.76286
2008-01-22,130.965805,5.55857
2008-01-23,133.774962,4.96679
2008-01-24,135.121318,4.84286
2008-01-25,132.980572,4.64321
2008-01-28,135.314898,4.64321
2008-01-29,136.153353,4.69786
2008-01-30,135.514153,4.72071
2008-01-31,137.805793,4.83429
2008-02-01,139.488051,4.77679
2008-02-04,138.033006,4.70179
2008-02-05,133.637077,4.62
2008-02-06,132.674058,4.35714
2008-02-07,133.751027,4.33
2008-02-08,133.190536,4.48143
2008-02-11,133.978345,4.62321
2008-02-12,134.955028,4.45929
2008-02-13,136.837071,4.62143
2008-02-14,135.009036,4.55214
2008-02-15,135.129375,4.45107
2008-02-19,135.018114,4.36357
2008-02-20,136.148075,4.42214
2008-02-21,134.448027,4.34071
2008-02-22,135.51685,4.26643
2008-02-25,137.384153,4.27643
2008-02-26,138.331878,4.25536
2008-02-27,138.23907,4.39143
2008-02-28,137.021391,4.63964
2008-02-29,133.327456,4.465
2008-03-03,133.402902,4.3475
2008-03-04,132.945719,4.45071
2008-03-05,133.705739,4.44607
2008-03-06,130.794888,4.31893
2008-03-07,129.701495,4.36607
2008-03-10,127.711092,4.27464
2008-03-11,132.433666,4.54821
2008-03-12,131.284769,4.50107
2008-03-13,131.959613,4.56929
2008-03-14,129.234044,4.52179
2008-03-17,128.101672,4.52607
2008-03-18,133.509541,4.74357
2008-03-19,130.285602,4.63107
2008-03-20,132.746264,4.75964
2008-03-24,134.777921,4.98321
2008-03-25,135.08865,5.035
2008-03-26,133.911648,5.18071
2008-03-27,132.405877,5.0089288
2008-03-28,131.35888,5.1075
2008-03-31,132.108046,5.125
2008-04-01,136.845215,5.34036
2008-04-02,136.607921,5.2675
2008-04-03,136.785439,5.41464
2008-04-04,136.895529,5.46714
2008-04-07,137.109659,5.5675
2008-04-08,136.45673,5.45857
2008-04-09,135.364721,5.40857
2008-04-10,135.975599,5.51964
2008-04-11,133.218192,5.255
2008-04-14,132.770327,5.27786
2008-04-15,133.381272,5.29929
2008-04-16,136.417362,5.48929
2008-04-17,136.504865,5.5175
2008-04-18,138.976832,5.75143
2008-04-21,138.764423,6.0057139
2008-04-22,137.546836,5.72143
2008-04-23,137.947269,5.8175
2008-04-24,138.833786,6.033571
2008-04-25,139.734863,6.061786
2008-04-28,139.593642,6.15143
2008-04-29,139.054725,6.25179
2008-04-30,138.526044,6.2125
2008-05-01,140.9228,6.42857
2008-05-02,141.377041,6.46214
2008-05-05,140.749151,6.5975
2008-05-06,141.828661,6.66643
2008-05-07,139.321423,6.52107
2008-05-08,139.837937,6.60929
2008-05-09,138.929206,6.55179
2008-05-12,140.460067,6.72
2008-05-13,140.437479,6.78429
2008-05-14,141.022296,6.65214
2008-05-15,142.536131,6.77607
2008-05-16,142.716531,6.70071
2008-05-19,142.849276,6.55714
2008-05-20,141.528449,6.63929
2008-05-21,139.27315,6.36393
2008-05-22,139.662367,6.32321
2008-05-23,137.823936,6.47036
2008-05-27,138.764352,6.65821
2008-05-28,139.33861,6.67893
2008-05-29,140.095052,6.6675
2008-05-30,140.307736,6.74107
2008-06-02,138.843752,6.64643
2008-06-03,138.048067,6.62036
2008-06-04,138.070585,6.61393
2008-06-05,140.761144,6.76536
2008-06-06,136.447826,6.63
2008-06-09,136.561341,6.48607
2008-06-10,136.230332,6.63
2008-06-11,133.968889,6.4575
2008-06-12,134.41555,6.18786
2008-06-13,136.429729,6.15607
2008-06-16,136.440598,6.31571
2008-06-17,135.521929,6.47964
2008-06-18,134.214351,6.38393
2008-06-19,134.750492,6.46071
2008-06-20,131.595819,6.25964
2008-06-23,131.602636,6.18429
2008-06-24,131.233158,6.1875
2008-06-25,132.005793,6.33536
2008-06-26,128.170623,6.0092859
2008-06-27,127.697823,6.074643
2008-06-30,127.865097,5.98
2008-07-01,128.380625,6.23857
2008-07-02,126.051352,6.0064292
2008-07-03,126.19091,6.075714
2008-07-07,125.136929,6.25571
2008-07-08,127.32126,6.4125
2008-07-09,124.437689,6.22321
2008-07-10,125.30653,6.30821
2008-07-11,123.927666,6.16357
2008-07-14,122.810346,6.21
2008-07-15,121.476256,6.058571
2008-07-16,124.53306,6.17179
2008-07-17,126.030402,6.13607
2008-07-18,126.065179,5.89821
2008-07-21,125.999075,5.93893
2008-07-22,127.699055,5.78643
2008-07-23,128.216982,5.93786
2008-07-24,125.266895,5.67964
2008-07-25,125.788355,5.79
2008-07-28,123.454239,5.51429
2008-07-29,126.342459,5.61
2008-07-30,128.453233,5.71
2008-07-31,126.793451,5.67679
2008-08-01,126.087165,5.595
2008-08-04,124.96076,5.4725
2008-08-05,128.554048,5.73714
2008-08-06,129.043172,5.86393
2008-08-07,126.746809,5.84179
2008-08-08,129.766737,6.055357
2008-08-11,130.696582,6.19857
2008-08-12,129.132483,6.31179
2008-08-13,128.798139,6.40357
2008-08-14,129.514094,6.40429
2008-08-15,130.054359,6.27643
2008-08-18,128.107383,6.26393
2008-08-19,126.929098,6.1975
2008-08-20,127.72116,6.28
2008-08-21,128.046816,6.22464
2008-08-22,129.506902,6.31393
2008-08-25,126.973898,6.1625
2008-08-26,127.441796,6.20143
2008-08-27,128.476927,6.23821
2008-08-28,130.395766,6.205
2008-08-29,128.618938,6.054643
2008-09-02,128.098338,5.93536
2008-09-03,127.902889,5.96286
2008-09-04,124.096095,5.75786
2008-09-05,124.647101,5.72071
2008-09-08,127.212239,5.64
2008-09-09,122.890952,5.41714
2008-09-10,123.648971,5.41464
2008-09-11,125.386557,5.45179
2008-09-12,125.651536,5.31929
2008-09-15,119.760989,5.012857
2008-09-16,121.849352,4.99571
2008-09-17,116.138313,4.56536
2008-09-18,121.180207,4.78893
2008-09-19,125.337823,5.0325
2008-09-22,120.551797,4.68036
2008-09-23,118.670364,4.53
2008-09-24,118.437209,4.59679
2008-09-25,120.764921,4.71179
2008-09-26,121.174766,4.58
2008-09-29,110.53199,3.75929
2008-09-30,116.52079,4.059286
2008-10-01,116.008616,3.89714
2008-10-02,111.354786,3.575
2008-10-03,109.853507,3.46679
2008-10-06,105.62698,3.505
2008-10-07,99.573891,3.18429
2008-10-08,98.500121,3.20679
2008-10-09,91.00948,3.16929
2008-10-10,89.94866,3.45714
2008-10-13,100.347268,3.93786
2008-10-14,99.815002,3.71714
2008-10-15,90.819784,3.49821
2008-10-16,94.675625,3.63893
2008-10-17,94.089248,3.47857
2008-10-20,98.567329,3.51571
2008-10-21,95.537358,3.2675
2008-10-22,89.737265,3.45964
2008-10-23,90.871131,3.50821
2008-10-24,87.74132,3.44214
2008-10-27,84.95993,3.28893
2008-10-28,94.107021,3.56821
2008-10-29,93.079933,3.73393
2008-10-30,95.49356,3.96571
2008-10-31,96.957914,3.8425
