underlying,role,regime,n_quotes,n_dates,n_calls,n_puts,mean_S,mean_option_price,mean_r,mean_dte,start,end
SPY,primary,covid,66405,50,33484,32921,320.2987663423688,8.327918831413296,0.003466318801295,24.31856034937128,2020-01-06,2020-12-24
SPY,primary,crisis,9285,101,4566,4719,111.87299316650513,4.316443187937534,0.0087768336025848,33.367474421109314,2008-01-02,2009-12-28
SPY,primary,late,100623,100,46310,54313,282.75106281699016,4.674804716615485,0.0205418214523518,24.693519374298123,2018-01-05,2019-12-27
SPY,primary,normal,33911,101,15498,18413,183.11805725817575,3.301895845006045,0.0004020907670077,26.956238388723424,2013-01-04,2014-12-30
AAPL,secondary,covid,12057,50,6241,5816,257.2052127394874,11.18658953305134,0.0035841917558264,25.71311271460562,2020-01-08,2020-12-28
AAPL,secondary,crisis,1856,101,967,889,151.86372629310344,8.009204202586208,0.0083547952586206,32.699353448275865,2008-01-02,2009-12-30
AAPL,secondary,late,16708,101,8660,8048,202.3967377902801,6.548443260713431,0.0202464029207565,26.032140292075653,2018-01-05,2019-12-31
AAPL,secondary,normal,20989,101,10915,10074,378.1747807470581,12.001074229358236,0.00043845347563,25.53023012053933,2013-01-07,2014-12-31
MSFT,secondary,covid,8098,50,4213,3885,193.57253272412945,7.7827624104717215,0.0032422696962212,25.360953321807855,2020-01-07,2020-12-24
MSFT,secondary,crisis,1481,101,769,712,25.26953409858204,1.152380148548278,0.0078298446995273,32.93720459149223,2008-01-02,2009-12-28
MSFT,secondary,late,20229,101,10445,9784,114.32673142518166,3.052885461466212,0.0201673735725937,24.25918236195561,2018-01-04,2019-12-30
MSFT,secondary,normal,6807,101,3575,3232,40.328974438078454,1.0882280005876304,0.0003815777875716,26.152196268547083,2013-01-03,2014-12-29
AMZN,extra_1y,covid,36315,51,18884,17431,2736.947433842765,106.91804268208729,0.0037261186837395013,24.041140024783147,2020-01-02,2020-12-29
AMZN,extra_1y,crisis,1281,101,646,635,81.04813583138173,5.118143637782983,0.008300936768149882,32.36768149882904,2008-01-02,2009-12-29
AMZN,extra_1y,late,72671,100,36894,35777,1731.6092932531544,50.92713544605138,0.020562626081930893,23.727924481567612,2018-01-05,2019-12-24
AMZN,extra_1y,normal,12630,101,6523,6107,325.2980420427553,10.486902216943783,0.00038641330166270784,24.895961995249404,2013-01-04,2014-12-30
