date,window_start,window_end,n_days,mu,omega,alpha,beta,sigma0,lam,mu_j,sigma_j,kappa
2008-08-01,2007-02-02,2008-08-01,378,-0.08171757470353057,1.2037067339553294e-05,0.10108881553183394,0.8677692746834996,0.023834401917286526,2.0,-0.01379864131323938,0.09059452618021285,-0.009648112636180262
2008-08-31,2007-03-01,2008-08-29,380,0.014695665338330041,1.2999504838866119e-05,0.12241094593557353,0.8458292984537447,0.015132322038532398,2.6526315789473687,-0.0017362891050776152,0.07780475657515952,0.0012913340224702807
2008-09-30,2007-04-02,2008-09-30,379,-0.044256644728832194,1.736218653638824e-05,0.17883792157064055,0.7974699476324991,0.04504293661444393,2.6596306068601585,-0.00856497672549339,0.0858664074922338,-0.004866576414612078
2008-10-31,2007-05-01,2008-10-31,382,-0.10777839738800464,1.3692988890878545e-05,0.20256444123363965,0.7974337153358494,0.04926777724581054,2.6387434554973823,0.025478677759925294,0.12615079575860821,0.0340009443618885
2008-11-30,2007-05-31,2008-11-28,380,-0.14658653021033616,1.592987919450354e-05,0.19432520377002152,0.8036748227568171,0.05419468034145638,2.6526315789473687,0.025478677759925294,0.12615079575860821,0.0340009443618885
2008-12-31,2007-07-02,2008-12-31,380,-0.1099196036322484,2.0933330579778234e-05,0.22451203686303337,0.7735603409641064,0.019789919081682667,2.6526315789473687,0.025478677759925294,0.12615079575860821,0.0340009443618885
2009-01-31,2007-08-01,2009-01-30,379,-0.16129608391859454,2.3512941685465284e-05,0.21640819582042856,0.7816505980107409,0.04153674950063922,2.6596306068601585,0.025478677759925294,0.12615079575860821,0.0340009443618885
2009-02-28,2007-08-29,2009-02-27,378,-0.2112550276451207,2.7956541163003035e-05,0.22654594165760364,0.77153161423246,0.026866854198746157,2.6666666666666665,0.025478677759925294,0.12615079575860821,0.0340009443618885
2009-03-31,2007-10-01,2009-03-31,378,-0.2560830038051653,3.168044126622238e-05,0.19467459514240354,0.803328970239134,0.03904848024560851,4.0,0.010247205978250795,0.12025738235069883,0.017631761195382456
2009-04-30,2007-10-31,2009-04-30,377,-0.25324001896016873,1.8562138850968615e-05,0.10406997298514829,0.8828750247975616,0.03714062414724037,4.010610079575597,0.01178488861152364,0.1215451881798941,0.019356458352294048
2009-05-31,2007-12-03,2009-05-29,375,-0.17360739062068845,3.0115893548684225e-05,0.13300304126630433,0.8414140429871066,0.021610451864257134,4.032,0.01178488861152364,0.1215451881798941,0.019356458352294048
2009-06-30,2007-12-31,2009-06-30,378,-0.043861104731783895,2.909999480733986e-05,0.13378206427014763,0.8404485891107086,0.020789335127684515,4.0,0.01178488861152364,0.1215451881798941,0.019356458352294048
2009-07-31,2008-02-01,2009-07-31,378,-0.021302922809206253,3.027808315514778e-05,0.13249234662205095,0.8421082299453917,0.029771784183020317,4.0,0.008796148528397829,0.12409973055920653,0.016633338988222723
