date,window_start,window_end,n_days,mu,kappa,theta,xi,rho,v0
2008-08-01,2007-02-02,2008-08-01,378,-0.10821405048516268,3.9891411373094616,0.00010009126339889138,0.5020884995132525,-0.3555221312000024,0.1116701538757615
2008-08-31,2007-03-01,2008-08-29,380,-0.0067445684997423615,2.8153451070348083,0.2595900321694937,1.619274687465211,-0.38606133441249135,0.07727614869910698
2008-09-30,2007-04-02,2008-09-30,379,-0.014424978994809058,3.3474896214747907,0.4577114819243415,2.651314858491727,-0.5225070832607897,0.1944305610130598
2008-10-31,2007-05-01,2008-10-31,382,-0.17923483896540496,3.6725231188906946,0.4740760463957366,2.7043879446391745,-0.6164852578339632,0.3917348439131053
2008-11-30,2007-05-31,2008-11-28,380,-0.26909121574110717,19.999999752830043,0.10839070710484992,3.9999999999999947,-0.4199662191626356,0.16208177802143484
2008-12-31,2007-07-02,2008-12-31,380,-0.2592650371826342,3.8104329828554406,0.7369080333310205,2.777901685912373,-0.32308355906549213,0.23197102702429695
2009-01-31,2007-08-01,2009-01-30,379,-0.3343073758783345,0.8851354098095763,0.76975173844553,1.2291500797293287,-0.2720457999159867,0.11493416418964729
2009-02-28,2007-08-29,2009-02-27,378,-0.34624150701258244,8.941630416125017,0.2410816212429332,2.592325594085327,-0.3495388462024615,0.282784449411206
2009-03-31,2007-10-01,2009-03-31,378,-0.29593067193019407,6.071832742531279,0.5277316651623901,2.0175345620938603,-0.34614546963517756,0.13553883387820717
2009-04-30,2007-10-31,2009-04-30,377,-0.3572354819547944,19.999999999999485,0.12219958274504494,1.9494215694058863,-0.3047468942210776,0.16969206217240096
2009-05-31,2007-12-03,2009-05-29,375,-0.2982383898282279,9.907608233332315,0.15418874959471415,1.7269386543332477,-0.5127447196473517,0.12233640623193824
2009-06-30,2007-12-31,2009-06-30,378,-0.2579828123966479,19.999999998173415,0.10805813881050759,2.219353088673314,-0.21090914306587713,0.1287194183862
2009-07-31,2008-02-01,2009-07-31,378,-0.19667511469344698,19.999999999268503,0.08612080593209072,2.0818422920882225,-0.2493195017191493,0.1035598121693047
