date,window_start,window_end,n_days,mu,sigma
2014-01-02,2012-07-03,2014-01-02,379,0.15966915637280898,0.23387037950098455
2014-01-31,2012-08-01,2014-01-31,379,0.19587566796266498,0.23485513042930103
2014-02-28,2012-08-29,2014-02-28,378,0.17946373446131797,0.236779711489011
2014-03-31,2012-10-01,2014-03-31,377,0.2443983297398733,0.23921789869374452
2014-04-30,2012-10-31,2014-04-30,377,0.2704610359088205,0.24041145820637339
2014-05-31,2012-12-03,2014-05-30,376,0.31818737029888017,0.2353358104917154
2014-06-30,2012-12-31,2014-06-30,378,0.33052117056694197,0.2338722964198184
2014-07-31,2013-02-01,2014-07-31,378,0.33123897208859054,0.2328147103160374
2014-08-31,2013-03-01,2014-08-29,380,0.35374734142514463,0.2313011952171689
2014-09-30,2013-04-01,2014-09-30,381,0.3472258713854683,0.23308622716048072
2014-10-31,2013-05-01,2014-10-31,382,0.2584925364319098,0.22913027381624432
2014-11-30,2013-05-31,2014-11-28,380,0.2338438796074841,0.2276200043550698
2014-12-31,2013-07-01,2014-12-31,381,0.2234599092639597,0.22823975948936165
