date,window_start,window_end,n_days,mu,omega,alpha,beta,sigma0
2008-08-01,2007-02-02,2008-08-01,378,-0.03055086301858421,2.69495539505839e-06,0.055393033610498646,0.927527923687091,0.014019595610548649
2008-08-31,2007-03-01,2008-08-29,380,0.021745698327655015,2.8134537949126824e-06,0.07798848972772819,0.9060832026944476,0.012517307006870195
2008-09-30,2007-04-02,2008-09-30,379,-0.03840591796651146,4.4677996364195276e-06,0.11989418364909823,0.8695514260770482,0.0393296524808438
2008-10-31,2007-05-01,2008-10-31,382,-0.12829398803741474,5.638660180076208e-06,0.1310040291942725,0.8595873535617474,0.04876151235480832
2008-11-30,2007-05-31,2008-11-28,380,-0.17973236907553364,5.873909034192727e-06,0.12455920842054288,0.8660792063761945,0.045588035536300205
2008-12-31,2007-07-02,2008-12-31,380,-0.18405533207075858,5.873913750253506e-06,0.12455920994031264,0.8660782145952064,0.02260637116060425
2009-01-31,2007-08-01,2009-01-30,379,-0.18409346077318778,6.88451123020484e-06,0.11880607254503336,0.8678063661588383,0.025572365058711473
2009-02-28,2007-08-29,2009-02-27,378,-0.2336943672096692,7.120869914367031e-06,0.1233254511165315,0.8636392040001013,0.02372268590798852
2009-03-31,2007-10-01,2009-03-31,378,-0.2885018141727139,7.4913548829783955e-06,0.11635760149576208,0.8709824461345441,0.029478019829640007
2009-04-30,2007-10-31,2009-04-30,377,-0.24490520009290515,6.814236408383219e-06,0.11091506221514966,0.8767939361408245,0.019714292794708703
2009-05-31,2007-12-03,2009-05-29,375,-0.198820283556986,7.4082000683783115e-06,0.11669270650300644,0.8720232438436876,0.018368308617061253
2009-06-30,2007-12-31,2009-06-30,378,-0.16682767330369938,6.073753455274478e-06,0.10874889632168537,0.8818766196683474,0.014700312633376192
2009-07-31,2008-02-01,2009-07-31,378,-0.036666893380802756,6.073752136610881e-06,0.1087489107724988,0.8818756153969036,0.013144742618139695
