date,window_start,window_end,n_days,mu,kappa,theta,xi,rho,v0,lam,mu_j,sigma_j,kappa_j
2008-08-01,2007-02-02,2008-08-01,378,-0.09120879458668203,8.729657001213015,0.045614083048530076,0.7469453405878345,-0.9899999999932279,0.035867389794057646,2.6666666666666665,0.019470412681695137,0.03641710684730304,0.020337561830037876
2008-08-31,2007-03-01,2008-08-29,380,-0.060798541378026885,18.873015584884502,0.03883831824648501,0.902332353380738,-0.8071589363621715,0.021168841318822313,1.3263157894736843,0.03882997467092242,0.0035619905324981013,0.03960030644709667
2008-09-30,2007-04-02,2008-09-30,379,-0.13134681162909329,4.327220280679499,0.04440337231521712,1.4060192759047452,-0.6880701212705899,0.11289720767479597,3.324538258575198,-0.01853706780611599,0.06311229463442207,-0.01640936215434574
2008-10-31,2007-05-01,2008-10-31,382,-0.28006387176696235,5.701771193348927,0.24648226949216964,3.9999999999999996,-0.8359839521172693,0.44700912141529253,4.617801047120419,-0.025065525061080125,0.09042200855324144,-0.020758958930703897
2008-11-30,2007-05-31,2008-11-28,380,-0.35320555785090446,11.720409060355763,0.18977188657151903,2.832476506029502,-0.7447612484798255,0.2635098497415211,4.6421052631578945,-0.008024872034835642,0.09559822930152043,-0.0034493984211022566
2008-12-31,2007-07-02,2008-12-31,380,-0.33766072442539447,3.9712488523994556,0.22648782298014905,2.2455603265106823,-0.8549296058972062,0.1670960006457844,5.305263157894737,-0.018638362137987197,0.09345916932391954,-0.014169705172763059
2009-01-31,2007-08-01,2009-01-30,379,-0.37594983540657856,0.9152681804272104,0.3838279933814716,1.568974668743743,-0.8025902409760836,0.10909918150294506,4.654353562005277,-0.030838590940502137,0.0938144993025522,-0.026091586232970254
2009-02-28,2007-08-29,2009-02-27,378,-0.4423840483792863,19.999999999780048,0.07564638929259555,1.780211526993824,-0.7804344668279757,0.19595330251034784,4.0,-0.02445773296755993,0.10109096600641945,-0.019162069242584123
2009-03-31,2007-10-01,2009-03-31,378,-0.43174842008581277,1.5651823067591168,0.3274408982111213,1.725310640038811,-0.6894834324437616,0.12552612676102956,4.0,-0.02445773296755993,0.10109096600641945,-0.019162069242584123
2009-04-30,2007-10-31,2009-04-30,377,-0.3744184202722414,11.775136463253618,0.08239963956474901,1.3058524190320242,-0.9899999999999999,0.11989366474675121,4.010610079575597,-0.02445773296755993,0.10109096600641945,-0.019162069242584123
2009-05-31,2007-12-03,2009-05-29,375,-0.3193272532925623,4.664123277504816,0.009068428050505298,0.6012567355334727,-0.9899999999999999,0.041051885061524136,4.032,-0.02445773296755993,0.10109096600641945,-0.019162069242584123
2009-06-30,2007-12-31,2009-06-30,378,-0.3155214520838783,4.344416998020737,0.02702078776941402,0.44777249144854925,-0.9899999929632893,0.01802112666055104,4.0,-0.02445773296755993,0.10109096600641945,-0.019162069242584123
2009-07-31,2008-02-01,2009-07-31,378,-0.22126650741402956,2.453268559259743,0.05796374091786398,0.5012640745264525,-0.9899999999999999,0.016490642089121734,4.0,-0.02445773296755993,0.10109096600641945,-0.019162069242584123
