date,window_start,window_end,n_days,mu,sigma,lam,mu_j,sigma_j,kappa
2018-10-01,2017-04-03,2018-10-01,378,0.22808937120309006,0.17233520316913295,6.0,0.01641141028167523,0.044047327415219203,0.01753343099324889
2018-10-31,2017-05-01,2018-10-31,381,0.2592166477714489,0.19155229816174768,4.6299212598425195,0.008483948132570949,0.049819203218645865,0.009772365378007075
2018-11-30,2017-05-31,2018-11-30,381,0.16141506314711118,0.2084460310271456,4.6299212598425195,-0.00956025357308026,0.05619613571569332,-0.00794948512267657
2018-12-31,2017-07-03,2018-12-31,377,0.1066184366527525,0.2265775263302482,3.3421750663129974,-0.008796800296079432,0.06576383040245233,-0.006612400825458442
2019-01-31,2017-08-01,2019-01-31,378,0.07909613195875743,0.23561148208738783,3.3333333333333335,0.003567342582859734,0.08356572024396623,0.007083930549395934
2019-02-28,2017-08-29,2019-02-28,377,0.05065184204053597,0.231507757028412,3.3421750663129974,0.003567342582859734,0.08356572024396623,0.007083930549395934
2019-03-31,2017-10-02,2019-03-29,375,0.14572567461545347,0.23475340133500106,3.36,0.003567342582859734,0.08356572024396623,0.007083930549395934
2019-04-30,2017-10-31,2019-04-30,375,0.1295954528380914,0.2329527198124855,3.36,0.003567342582859734,0.08356572024396623,0.007083930549395934
2019-05-31,2017-12-01,2019-05-31,375,0.05711235324656497,0.23948754096045685,4.032,-0.00700668683419677,0.07910400918152583,-0.0038704551052450853
2019-06-30,2018-01-02,2019-06-28,375,0.15138377258120536,0.24303663853090657,4.032,-0.00700668683419677,0.07910400918152583,-0.0038704551052450853
2019-07-31,2018-02-01,2019-07-31,376,0.20839679339984693,0.2435304351541087,4.0212765957446805,-0.00700668683419677,0.07910400918152583,-0.0038704551052450853
2019-08-31,2018-03-01,2019-08-30,379,0.15094352550412665,0.24539381436458313,3.9894459102902373,-0.00700668683419677,0.07910400918152583,-0.0038704551052450853
2019-09-30,2018-04-02,2019-09-30,378,0.2395673717264695,0.24277131923514483,4.0,-0.00700668683419677,0.07910400918152583,-0.0038704551052450853
